study_key,pmid,doi,year,journal,venue_community,rule
S001,9419562.0,10.1016/s1076-6332(05)80184-9,1995,Academic radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S002,,10.1109/42.387716,1995,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S003,,10.1109/isspit.2005.1577201,2005,"Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.",engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S004,17117780.0,10.1109/tmi.2006.881374,2006,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S005,23218792.0,10.1016/j.mri.2012.09.009,2013,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S006,25143262.0,10.1002/jmri.24728,2015,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S007,26606457.0,10.1016/j.media.2015.10.012,2015,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S008,,10.1109/isbi.2016.7493412,2016,2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S009,26714794.0,10.1002/mrm.26080,2016,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S010,26140504.0,10.1002/mrm.25830,2016,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S011,28945803.0,10.1371/journal.pone.0184661,2017,PloS one,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S012,29769079.0,10.1186/s12880-018-0256-6,2018,BMC medical imaging,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S013,29520831.0,10.1002/mrm.27166,2018,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S014,,10.1109/prni.2018.8423948,2018,2018 International Workshop on Pattern Recognition in Neuroimaging (PRNI),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S015,29898715.0,10.1186/s12938-018-0514-4,2018,Biomedical engineering online,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S016,29408461.0,10.1016/j.neuroimage.2018.01.078,2018,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S017,30672166.0,10.3348/kjr.2017.0634,2019,Korean journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S018,31247254.0,10.1016/j.mri.2019.05.038,2019,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S019,30811739.0,10.1002/jmri.26693,2019,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S020,30523142.0,10.3174/ajnr.a5905,2019,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S021,30671618.0,10.1007/s00234-019-02160-w,2019,Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S022,30630834.0,10.3174/ajnr.a5927,2019,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S023,31045278.0,10.1002/mrm.27771,2019,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S024,30773331.0,10.1016/j.zemedi.2019.01.001,2019,Zeitschrift fur medizinische Physik,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S025,31946482.0,10.1109/embc.2019.8857125,2019,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S026,32054615.0,10.3174/ajnr.a6436,2020,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S027,32890675.0,10.1016/j.mri.2020.08.025,2020,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S028,32408291.0,10.1088/1361-6560/ab9356,2020,Physics in medicine and biology,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S029,32299803.0,10.3174/ajnr.a6533,2020,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S030,33592248.0,10.1016/j.mri.2021.02.002,2021,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S031,33858820.0,10.3174/ajnr.a7091,2021,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S032,34911199.0,10.1016/j.nicl.2021.102896,2021,NeuroImage. Clinical,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S033,33810289.0,10.3390/s21072314,2021,"Sensors (Basel, Switzerland)",engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S034,34824098.0,10.3174/ajnr.a7358,2021,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S035,32963184.0,10.2463/mrms.tn.2020-0061,2021,Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S036,,10.1038/s41598-020-80930-w,2021,Scientific Reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S037,34455242.0,10.1016/j.neuroimage.2021.118482,2021,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S038,33502667.0,10.1007/s10334-020-00906-9,2021,"Magma (New York, N.Y.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S039,32783339.0,10.1002/mrm.28446,2021,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S040,,10.1109/tmi.2021.3075856,2021,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S041,33460797.0,10.1016/j.neuroimage.2021.117756,2021,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S042,34698294.0,10.3390/tomography7040047,2021,"Tomography (Ann Arbor, Mich.)",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S043,33368705.0,10.1002/nbm.4461,2021,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S044,36240989.0,10.1016/j.neuroimage.2022.119680,2022,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S045,,10.1109/tci.2022.3176129,2022,IEEE Transactions on Computational Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S046,35925387.0,10.1007/s00330-022-08871-8,2022,European radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S047,35291425.0,10.1155/2022/6270700,2022,Contrast media & molecular imaging,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S048,36651242.0,10.12122/j.issn.1673-4254.2022.12.02,2022,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S049,35644448.0,10.1016/j.mri.2022.05.016,2022,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S050,36523647.0,10.1148/ryai.210313,2022,Radiology. Artificial intelligence,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S051,35618420.0,10.3174/ajnr.a7531,2022,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S052,34851499.0,10.1007/s11604-021-01225-2,2022,Japanese journal of radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S053,35046218.0,10.6009/jjrt.780108,2022,Nihon Hoshasen Gijutsu Gakkai zasshi,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S054,35180675.0,10.1016/j.media.2022.102387,2022,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S055,35657830.0,10.1109/tmi.2022.3179981,2022,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S056,35403237.0,10.1002/mrm.29238,2022,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S057,36103561.0,10.1371/journal.pone.0274576,2022,PloS one,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S058,,10.1002/nbm.4616,2022,NMR in Biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S059,,10.1038/s41598-022-22778-w,2022,Scientific Reports,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S060,,10.1109/tmi.2022.3142610,2022,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S061,34166181.0,10.1109/tbme.2021.3091881,2022,IEEE transactions on bio-medical engineering,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S062,31865624.0,10.1002/nbm.4225,2022,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S063,34882551.0,10.1109/tmi.2021.3134496,2022,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
