study_key,pmid,doi,year,journal,title,study_design,method_family,evaluation,failure_modes,field_strength,field_strength_evidence,pulse_sequences,reference_standard,public_dataset_or_benchmark,code_available,full_text_basis,source_record
S001,9419562,10.1016/s1076-6332(05)80184-9,1995,Academic radiology,Detection of degradation of magnetic resonance (MR) images: comparison of an automated MR image-quality analysis system with trained human observers,Diagnostic accuracy / reader study,,Observer / reader study,Geometric / anatomical distortion,not reported,,,Not stated,,not stated,abstract + MeSH only,1995 - Detection of degradation of magnetic resonance (MR) images comparison of an automated MR image-quality analysis system w - PMID 9419562.md
S002,,10.1109/42.387716,1995,IEEE Transactions on Medical Imaging,Using an image database to constrain the acquisition and reconstruction of MR images of the human head,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging,,Artifacts (aliasing/ghosting/Gibbs),1.5T,"to 64 x 64 images of the human head. First, a commercially available 1.5-T scanner (Signa, GE Medical Systems, Milwaukee, WI) was used to colle",T1w,Expert reader consensus,,not stated,full text,1995 - Using an image database to constrain the acquisition and reconstruction of MR images of the human head - IEEEXPLORE 387716.md
S003,,10.1109/isspit.2005.1577201,2005,"Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.",Quality evaluation of fast morphing interpolation model for 3D volume reconstruction,Algorithmic / methodological reconstruction study,,,Robustness / distribution shift,not reported,,,Expert reader consensus,,not stated,full text,2005 - Quality evaluation of fast morphing interpolation model for 3D volume reconstruction - IEEEXPLORE 1577201.md
S004,17117780,10.1109/tmi.2006.881374,2006,IEEE transactions on medical imaging,Using human and model performance to compare MRI reconstructions,Diagnostic accuracy / reader study,Denoising,Observer / reader study,,not reported,,,Not stated,,not stated,abstract + MeSH only,2006 - Using human and model performance to compare MRI reconstructions. - PMID 17117780.md
S005,23218792,10.1016/j.mri.2012.09.009,2013,Magnetic resonance imaging,A new perceptual difference model for diagnostically relevant quantitative image quality evaluation: a preliminary study,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Perceptual / learned metrics;Observer / reader study;Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs),7T,"nce angiography (MRA) images more than noise and blurring effects. In 7T brain imaging, aliasing artifacts are more dangerous than other artif",T2w,Fully sampled acquisition,,not stated,full text,2013 - A new perceptual difference model for diagnostically relevant quantitative image quality evaluation a preliminary study. - PMID 23218792.md
S006,25143262,10.1002/jmri.24728,2015,Journal of magnetic resonance imaging : JMRI,Artifactual microhemorrhage generated by susceptibility weighted image processing,Diagnostic accuracy / reader study,Compressed sensing / parallel imaging,Observer / reader study;Uncertainty estimation,Artifacts (aliasing/ghosting/Gibbs);Robustness / distribution shift,3T,data from 28 traumatic brain injury (TBI) patients was obtained on a 3 tesla clinical Siemens scanner using both the product 3D gradient echo sequ,FLAIR;SWI,Expert reader consensus,,not stated,full text,2015 - Artifactual microhemorrhage generated by susceptibility weighted image processing. - PMID 25143262.md
S007,26606457,10.1016/j.media.2015.10.012,2015,Medical image analysis,Sparse Reconstruction Challenge for diffusion MRI: Validation on a physical phantom to determine which acquisition scheme and analysis method to use?,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Compressed sensing / parallel imaging,,,3T,wo acquisitions. 3.2. Data The challenge data sets were acquired on a 3T Trio Siemens scanner with an 8-channel knee coil using GRAPPA (Grisw,DWI,Stated ground truth (unspecified),human connectome,not stated,full text,2015 - Sparse Reconstruction Challenge for diffusion MRI Validation on a physical phantom to determine which acquisition scheme - PMID 26606457.md
S008,,10.1109/isbi.2016.7493412,2016,2016 IEEE 13th International Symposium on Biomedical Imaging (ISBI),Compressive sensing based Q-space resampling for handling fast bulk motion in hardi acquisitions,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE);Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation,3T,ng study [16])1. All subjects were scanned using the same scanner (a 3.0T Siemens Magnetom TrioTim scanner) at the same clinical site to avoid,DWI,Not stated,,not stated,full text,2016 - Compressive sensing based Q-space resampling for handling fast bulk motion in hardi acquisitions - IEEEXPLORE 7493412.md
S009,26714794,10.1002/mrm.26080,2016,Magnetic resonance in medicine,Diffusion in realistic biophysical systems can lead to aliasing effects in diffusion spectrum imaging,Algorithmic / methodological reconstruction study,Generative (GAN/diffusion/VAE),,Artifacts (aliasing/ghosting/Gibbs),3T,pus callosum and ventricles. Data acquisition was per- formed using a 3 Tesla (T) GE MR750 clinical MR scanner with a maximum gradient strength of,DWI,Stated ground truth (unspecified),Human Connectome,not stated,full text,2016 - Diffusion in realistic biophysical systems can lead to aliasing effects in diffusion spectrum imaging. - PMID 26714794.md
S010,26140504,10.1002/mrm.25830,2016,Magnetic resonance in medicine,Reverse retrospective motion correction,Algorithmic / methodological reconstruction study,Compressed sensing / parallel imaging;Motion correction,,Artifacts (aliasing/ghosting/Gibbs);Motion degradation;Robustness / distribution shift,3T,"acquisition and prospective feedback Experiments were performed on a 3T Tim Trio (Siemens Healthcare, Erlangen). Data were acquired in N=4 h",T1w;DWI,Expert reader consensus,,not stated,full text,2016 - Reverse retrospective motion correction. - PMID 26140504.md
